	Symbol_hg	Symbol_mm	ID
8524	RXRB	Rxrb	RXRB_Rxrb
8525	NPBWR1	Npbwr1	NPBWR1_Npbwr1
8526	CTCF	Ctcf	CTCF_Ctcf
8527	THSD7B	Thsd7b	THSD7B_Thsd7b
8528	ADGRB1	Adgrb1	ADGRB1_Adgrb1
8529	SPAG8	Spag8	SPAG8_Spag8
8530	CD96	Cd96	CD96_Cd96
8531	SEPHS2	Sephs2	SEPHS2_Sephs2
8532	TSGA13	Tsga13	TSGA13_Tsga13
8533	FERMT3	Fermt3	FERMT3_Fermt3
8534	FGFR4	Fgfr4	FGFR4_Fgfr4
8535	BBOX1	Bbox1	BBOX1_Bbox1
8536	TMEM167A	Tmem167	TMEM167A_Tmem167
8537	FFAR4	Ffar4	FFAR4_Ffar4
8538	ZNF175	Zfp715	ZNF175_Zfp715
8539	SMIM7	Smim7	SMIM7_Smim7
8540	RPL18A	Rpl18a	RPL18A_Rpl18a
8541	DPH1	Dph1	DPH1_Dph1
8542	TMEM69	Tmem69	TMEM69_Tmem69
8543	DNMT3B	Dnmt3b	DNMT3B_Dnmt3b
8544	NUDT8	Nudt8	NUDT8_Nudt8
8545	SEZ6L	Sez6l	SEZ6L_Sez6l
8546	AHCY	Ahcy	AHCY_Ahcy
8547	CHTF18	Chtf18	CHTF18_Chtf18
8548	CCT7	Cct7	CCT7_Cct7
8549	LRRC57	Lrrc57	LRRC57_Lrrc57
8550	SMAP2	Smap2	SMAP2_Smap2
8551	MOB1B	Mob1b	MOB1B_Mob1b
8552	SLAMF8	Slamf8	SLAMF8_Slamf8
8553	ZBTB10	Zbtb10	ZBTB10_Zbtb10
8554	CCL25	Ccl25	CCL25_Ccl25
8555	RPS19BP1	Rps19bp1	RPS19BP1_Rps19bp1
8556	SNED1	Sned1	SNED1_Sned1
8557	THY1	Thy1	THY1_Thy1
8558	PPBP	Ppbp	PPBP_Ppbp
8559	EVA1C	Eva1c	EVA1C_Eva1c
8560	COQ6	Coq6	COQ6_Coq6
8561	OR7C2	Olfr1356	OR7C2_Olfr1356
8562	CDX4	Cdx4	CDX4_Cdx4
8563	GHRHR	Ghrhr	GHRHR_Ghrhr
8564	C11orf86	2010003K11Rik	C11orf86_2010003K11Rik
8565	SMAD7	Smad7	SMAD7_Smad7
8566	RANBP2	Ranbp2	RANBP2_Ranbp2
8567	PLA2G2C	Pla2g2c	PLA2G2C_Pla2g2c
8568	CCDC167	Ccdc167	CCDC167_Ccdc167
8569	SLC22A6	Slc22a6	SLC22A6_Slc22a6
8570	KNSTRN	Knstrn	KNSTRN_Knstrn
8571	MYLK2	Mylk2	MYLK2_Mylk2
8572	ANXA7	Anxa7	ANXA7_Anxa7
8573	UBE2D3	Ube2d3	UBE2D3_Ube2d3
8574	L2HGDH	L2hgdh	L2HGDH_L2hgdh
8575	TMEM170B	Tmem170b	TMEM170B_Tmem170b
8576	DMAC2L	Dmac2l	DMAC2L_Dmac2l
8577	KLRG1	Klrg1	KLRG1_Klrg1
8578	NPW	Npw	NPW_Npw
8579	SUFU	Sufu	SUFU_Sufu
8580	APBB1IP	Apbb1ip	APBB1IP_Apbb1ip
8581	GKAP1	Gkap1	GKAP1_Gkap1
8582	ERICH1	Erich1	ERICH1_Erich1
8583	CLN5	Cln5	CLN5_Cln5
8584	SSBP3	Ssbp3	SSBP3_Ssbp3
8585	AADAT	Aadat	AADAT_Aadat
8586	TXN	Txn1	TXN_Txn1
8587	PRCC	Prcc	PRCC_Prcc
8588	S100A9	S100a9	S100A9_S100a9
8589	ERAS	Eras	ERAS_Eras
8590	ETAA1	Etaa1	ETAA1_Etaa1
8591	GCN1	Gcn1	GCN1_Gcn1
8592	DYNLL2	Dynll2	DYNLL2_Dynll2
8593	OR6B2	Olfr1416	OR6B2_Olfr1416
8594	GLMP	Glmp	GLMP_Glmp
8595	RABEP2	Rabep2	RABEP2_Rabep2
8596	CRAT	Crat	CRAT_Crat
8597	CDK5RAP3	Cdk5rap3	CDK5RAP3_Cdk5rap3
8598	PEX3	Pex3	PEX3_Pex3
8599	NFRKB	Nfrkb	NFRKB_Nfrkb
8600	PDGFD	Pdgfd	PDGFD_Pdgfd
8601	GLT8D2	Glt8d2	GLT8D2_Glt8d2
8602	CSRP3	Csrp3	CSRP3_Csrp3
8603	NXF3	Nxf3	NXF3_Nxf3
8604	PURA	Pura	PURA_Pura
8605	IFRD2	Ifrd2	IFRD2_Ifrd2
8606	ATP6V0A1	Atp6v0a1	ATP6V0A1_Atp6v0a1
8607	N4BP1	N4bp1	N4BP1_N4bp1
8608	C2orf92	4933424G06Rik	C2orf92_4933424G06Rik
8609	CLPTM1	Clptm1	CLPTM1_Clptm1
8610	HK2	Hk2	HK2_Hk2
8611	PDE6H	Pde6h	PDE6H_Pde6h
8612	ARL6IP4	Arl6ip4	ARL6IP4_Arl6ip4
8613	PTPDC1	Ptpdc1	PTPDC1_Ptpdc1
8614	KHNYN	Khnyn	KHNYN_Khnyn
8615	TXLNG	Txlng	TXLNG_Txlng
8616	IQCF6	Iqcf6	IQCF6_Iqcf6
8617	MYH14	Myh14	MYH14_Myh14
8618	CARHSP1	Carhsp1	CARHSP1_Carhsp1
8619	IZUMO1R	Izumo1r	IZUMO1R_Izumo1r
8620	CYB5A	Cyb5a	CYB5A_Cyb5a
8621	NDUFA10	Ndufa10	NDUFA10_Ndufa10
8622	CHRM5	Chrm5	CHRM5_Chrm5
8623	CYTH2	Cyth2	CYTH2_Cyth2
8624	EMILIN3	Emilin3	EMILIN3_Emilin3
8625	FOXD3	Foxd3	FOXD3_Foxd3
8626	TMIGD1	Tmigd1	TMIGD1_Tmigd1
8627	CD53	Cd53	CD53_Cd53
8628	SPATA19	Spata19	SPATA19_Spata19
8629	SFT2D1	Sft2d1	SFT2D1_Sft2d1
8630	MMS22L	Mms22l	MMS22L_Mms22l
8631	GOLGB1	Golgb1	GOLGB1_Golgb1
8632	ZNF8	Zfp128	ZNF8_Zfp128
8633	SUSD1	Susd1	SUSD1_Susd1
8634	PABPC4	Pabpc4	PABPC4_Pabpc4
8635	ASS1	Ass1	ASS1_Ass1
8636	CCDC175	Ccdc175	CCDC175_Ccdc175
8637	NDUFAF2	Ndufaf2	NDUFAF2_Ndufaf2
8638	MBLAC1	Mblac1	MBLAC1_Mblac1
8639	COIL	Coil	COIL_Coil
8640	IL1F10	Il1f10	IL1F10_Il1f10
8641	PCYT2	Pcyt2	PCYT2_Pcyt2
8642	FAM118A	Fam118a	FAM118A_Fam118a
8643	COL7A1	Col7a1	COL7A1_Col7a1
8644	PCDHGB1	Pcdhgb1	PCDHGB1_Pcdhgb1
8645	TMED7	Tmed7	TMED7_Tmed7
8646	PCDH18	Pcdh18	PCDH18_Pcdh18
8647	CBR1	Cbr1	CBR1_Cbr1
8648	NXPE4	Nxpe4	NXPE4_Nxpe4
8649	TMEM38B	Tmem38b	TMEM38B_Tmem38b
8650	ZNF579	Zfp579	ZNF579_Zfp579
8651	SLC39A5	Slc39a5	SLC39A5_Slc39a5
8652	PDIA5	Pdia5	PDIA5_Pdia5
8653	PNISR	Pnisr	PNISR_Pnisr
8654	DGAT2	Dgat2	DGAT2_Dgat2
8655	KLHDC8B	Klhdc8b	KLHDC8B_Klhdc8b
8656	TMEM38A	Tmem38a	TMEM38A_Tmem38a
8657	BCDIN3D	Bcdin3d	BCDIN3D_Bcdin3d
8658	NAA16	Naa16	NAA16_Naa16
8659	ZG16	Zg16	ZG16_Zg16
8660	ULK1	Ulk1	ULK1_Ulk1
8661	OR52B6	Olfr618	OR52B6_Olfr618
8662	SMLR1	Smlr1	SMLR1_Smlr1
8663	COA8	Coa8	COA8_Coa8
8664	NDUFS2	Ndufs2	NDUFS2_Ndufs2
8665	TASOR	Tasor	TASOR_Tasor
8666	ZGRF1	Zgrf1	ZGRF1_Zgrf1
8667	ABHD6	Abhd6	ABHD6_Abhd6
8668	DHRS11	Dhrs11	DHRS11_Dhrs11
8669	KLF6	Klf6	KLF6_Klf6
8670	RBP2	Rbp2	RBP2_Rbp2
8671	MS4A7	Ms4a7	MS4A7_Ms4a7
8672	PPFIBP1	Ppfibp1	PPFIBP1_Ppfibp1
8673	NUBP2	Nubp2	NUBP2_Nubp2
8674	DNAJA4	Dnaja4	DNAJA4_Dnaja4
8675	BTG4	Btg4	BTG4_Btg4
8676	TMPRSS11D	Tmprss11d	TMPRSS11D_Tmprss11d
8677	GPATCH11	Gpatch11	GPATCH11_Gpatch11
8678	ORMDL2	Ormdl2	ORMDL2_Ormdl2
8679	PRPF4	Prpf4	PRPF4_Prpf4
8680	ATP5MJ	Atp5mpl	ATP5MJ_Atp5mpl
8681	SLC35D2	Slc35d2	SLC35D2_Slc35d2
8682	ZBTB12	Zbtb12	ZBTB12_Zbtb12
8683	DIABLO	Diablo	DIABLO_Diablo
8684	B3GNTL1	B3gntl1	B3GNTL1_B3gntl1
8685	ID4	Id4	ID4_Id4
8686	FAS	Fas	FAS_Fas
8687	FLVCR2	Flvcr2	FLVCR2_Flvcr2
8688	GJA3	Gja3	GJA3_Gja3
8689	COX14	Cox14	COX14_Cox14
8690	USP12	Usp12	USP12_Usp12
8691	MANBA	Manba	MANBA_Manba
8692	TSKS	Tsks	TSKS_Tsks
8693	CACNB2	Cacnb2	CACNB2_Cacnb2
8694	FKTN	Fktn	FKTN_Fktn
8695	PZP	Mug2	PZP_Mug2
8696	UBXN2B	Ubxn2b	UBXN2B_Ubxn2b
8697	HK3	Hk3	HK3_Hk3
8698	NOS2	Nos2	NOS2_Nos2
8699	CLEC1A	Clec1a	CLEC1A_Clec1a
8700	MADD	Madd	MADD_Madd
8701	MRNIP	Mrnip	MRNIP_Mrnip
8702	SRA1	Sra1	SRA1_Sra1
8703	EHD3	Ehd3	EHD3_Ehd3
8704	HR	Hr	HR_Hr
8705	GTPBP2	Gtpbp2	GTPBP2_Gtpbp2
8706	SRSF9	Srsf9	SRSF9_Srsf9
8707	GIMAP8	Gimap8	GIMAP8_Gimap8
8708	P2RX4	P2rx4	P2RX4_P2rx4
8709	EDNRB	Ednrb	EDNRB_Ednrb
8710	IDI1	Idi1	IDI1_Idi1
8711	GRPR	Grpr	GRPR_Grpr
8712	FBXO34	Fbxo34	FBXO34_Fbxo34
8713	MMP16	Mmp16	MMP16_Mmp16
8714	TAX1BP1	Tax1bp1	TAX1BP1_Tax1bp1
8715	FTSJ3	Ftsj3	FTSJ3_Ftsj3
8716	RELB	Relb	RELB_Relb
8717	INHBB	Inhbb	INHBB_Inhbb
8718	SPG7	Spg7	SPG7_Spg7
8719	AAR2	Aar2	AAR2_Aar2
8720	CUEDC2	Cuedc2	CUEDC2_Cuedc2
8721	SPPL3	Sppl3	SPPL3_Sppl3
8722	NEMP1	Nemp1	NEMP1_Nemp1
8723	POU3F1	Pou3f1	POU3F1_Pou3f1
8724	MTMR11	Mtmr11	MTMR11_Mtmr11
8725	LSM7	Lsm7	LSM7_Lsm7
8726	IQCE	Iqce	IQCE_Iqce
8727	CDKAL1	Cdkal1	CDKAL1_Cdkal1
8728	ATP2B3	Atp2b3	ATP2B3_Atp2b3
8729	LMX1B	Lmx1b	LMX1B_Lmx1b
8730	NR0B2	Nr0b2	NR0B2_Nr0b2
8731	RPF2	Rpf2	RPF2_Rpf2
8732	COPG2	Copg2	COPG2_Copg2
8733	CLEC12A	Clec12a	CLEC12A_Clec12a
8734	SKAP1	Skap1	SKAP1_Skap1
8735	AGA	Aga	AGA_Aga
8736	OR6C74	Olfr821	OR6C74_Olfr821
8737	ZNF688	Zfp688	ZNF688_Zfp688
8738	TMPRSS6	Tmprss6	TMPRSS6_Tmprss6
8739	ANO4	Ano4	ANO4_Ano4
8740	CBY2	Cby2	CBY2_Cby2
8741	PEX12	Pex12	PEX12_Pex12
8742	FIZ1	Fiz1	FIZ1_Fiz1
8743	ANO1	Ano1	ANO1_Ano1
8744	FITM2	Fitm2	FITM2_Fitm2
8745	YY1	Yy1	YY1_Yy1
8746	HSPA4L	Hspa4l	HSPA4L_Hspa4l
8747	SWSAP1	Swsap1	SWSAP1_Swsap1
8748	TELO2	Telo2	TELO2_Telo2
8749	DELE1	Dele1	DELE1_Dele1
8750	GPR62	Gpr62	GPR62_Gpr62
8751	ARHGEF11	Arhgef11	ARHGEF11_Arhgef11
8752	CD99L2	Cd99l2	CD99L2_Cd99l2
8753	AIFM1	Aifm1	AIFM1_Aifm1
8754	USF3	Usf3	USF3_Usf3
8755	CEP55	Cep55	CEP55_Cep55
8756	KRCC1	Krcc1	KRCC1_Krcc1
8757	KLK14	Klk14	KLK14_Klk14
8758	SPINK2	Spink2	SPINK2_Spink2
8759	GPR12	Gpr12	GPR12_Gpr12
8760	PPFIA3	Ppfia3	PPFIA3_Ppfia3
8761	VTI1B	Vti1b	VTI1B_Vti1b
8762	SAP30	Sap30	SAP30_Sap30
8763	SLC2A1	Slc2a1	SLC2A1_Slc2a1
8764	GCDH	Gcdh	GCDH_Gcdh
8765	ZFYVE16	Zfyve16	ZFYVE16_Zfyve16
8766	POLL	Poll	POLL_Poll
8767	RGS19	Rgs19	RGS19_Rgs19
8768	RO60	Ro60	RO60_Ro60
8769	USP18	Usp18	USP18_Usp18
8770	GAST	Gast	GAST_Gast
8771	ARID3A	Arid3a	ARID3A_Arid3a
8772	MRPS5	Mrps5	MRPS5_Mrps5
8773	AIPL1	Aipl1	AIPL1_Aipl1
8774	SPA17	Spa17	SPA17_Spa17
8775	SEC23A	Sec23a	SEC23A_Sec23a
8776	B3GALT6	B3galt6	B3GALT6_B3galt6
8777	CLEC3B	Clec3b	CLEC3B_Clec3b
8778	ZSCAN5B	Zscan5b	ZSCAN5B_Zscan5b
8779	KRT26	Krt26	KRT26_Krt26
8780	ADCY2	Adcy2	ADCY2_Adcy2
8781	SLC4A11	Slc4a11	SLC4A11_Slc4a11
8782	CLCNKA	Clcnkb	CLCNKA_Clcnkb
8783	KMT2C	Kmt2c	KMT2C_Kmt2c
8784	COL11A2	Col11a2	COL11A2_Col11a2
8785	UACA	Uaca	UACA_Uaca
8786	SFRP2	Sfrp2	SFRP2_Sfrp2
8787	DERL1	Derl1	DERL1_Derl1
8788	G3BP1	G3bp1	G3BP1_G3bp1
8789	EIF5A	Eif5a	EIF5A_Eif5a
8790	WDR73	Wdr73	WDR73_Wdr73
8791	FAM114A2	Fam114a2	FAM114A2_Fam114a2
8792	ING5	Ing5	ING5_Ing5
8793	ELK1	Elk1	ELK1_Elk1
8794	ZNF773	Zfp772	ZNF773_Zfp772
8795	NCBP3	Ncbp3	NCBP3_Ncbp3
8796	WASF2	Wasf2	WASF2_Wasf2
8797	XKR5	Xkr5	XKR5_Xkr5
8798	NUP155	Nup155	NUP155_Nup155
8799	ELMO2	Elmo2	ELMO2_Elmo2
8800	CTXND2	4930558C23Rik	CTXND2_4930558C23Rik
8801	PRKCQ	Prkcq	PRKCQ_Prkcq
8802	ACTN3	Actn3	ACTN3_Actn3
8803	STX11	Stx11	STX11_Stx11
8804	FARSB	Farsb	FARSB_Farsb
8805	TXNDC15	Txndc15	TXNDC15_Txndc15
8806	RLN3	Rln3	RLN3_Rln3
8807	MATK	Matk	MATK_Matk
8808	CYGB	Cygb	CYGB_Cygb
8809	PTPRE	Ptpre	PTPRE_Ptpre
8810	COMMD10	Commd10	COMMD10_Commd10
8811	DNAJC15	Dnajc15	DNAJC15_Dnajc15
8812	OR1F1	Olfr161	OR1F1_Olfr161
8813	FOXJ3	Foxj3	FOXJ3_Foxj3
8814	OAS1	Oas1a	OAS1_Oas1a
8815	POP1	Pop1	POP1_Pop1
8816	B3GAT3	B3gat3	B3GAT3_B3gat3
8817	SOD2	Sod2	SOD2_Sod2
8818	UPK1B	Upk1b	UPK1B_Upk1b
8819	PARP3	Parp3	PARP3_Parp3
8820	ALG14	Alg14	ALG14_Alg14
8821	RGS7BP	Rgs7bp	RGS7BP_Rgs7bp
8822	EXO5	Exo5	EXO5_Exo5
8823	FGF17	Fgf17	FGF17_Fgf17
8824	C11orf87	AI593442	C11orf87_AI593442
8825	PEX16	Pex16	PEX16_Pex16
8826	TBL3	Tbl3	TBL3_Tbl3
8827	USP33	Usp33	USP33_Usp33
8828	GTSE1	Gtse1	GTSE1_Gtse1
8829	MLLT3	Mllt3	MLLT3_Mllt3
8830	CDH11	Cdh11	CDH11_Cdh11
8831	EFHC1	Efhc1	EFHC1_Efhc1
8832	MAP4K1	Map4k1	MAP4K1_Map4k1
8833	GABARAPL1	Gabarapl1	GABARAPL1_Gabarapl1
8834	RIC1	Ric1	RIC1_Ric1
8835	HEATR3	Heatr3	HEATR3_Heatr3
8836	ACER3	Acer3	ACER3_Acer3
8837	DEFB119	Defb19	DEFB119_Defb19
8838	TFF3	Tff3	TFF3_Tff3
8839	SLC15A1	Slc15a1	SLC15A1_Slc15a1
8840	LRRC32	Lrrc32	LRRC32_Lrrc32
8841	LTBR	Ltbr	LTBR_Ltbr
8842	KRTAP27-1	Krtap27-1	KRTAP27-1_Krtap27-1
8843	HTR1F	Htr1f	HTR1F_Htr1f
8844	GLRA3	Glra3	GLRA3_Glra3
8845	MSANTD1	Msantd1	MSANTD1_Msantd1
8846	CHML	Chml	CHML_Chml
8847	ALKBH5	Alkbh5	ALKBH5_Alkbh5
8848	SYNGAP1	Syngap1	SYNGAP1_Syngap1
8849	TEX43	Tex43	TEX43_Tex43
8850	SLC35F1	Slc35f1	SLC35F1_Slc35f1
8851	RBM24	Rbm24	RBM24_Rbm24
8852	CSF2	Csf2	CSF2_Csf2
8853	LRRC14B	Lrrc14b	LRRC14B_Lrrc14b
8854	SLC12A2	Slc12a2	SLC12A2_Slc12a2
8855	PADI4	Padi4	PADI4_Padi4
8856	KCNN4	Kcnn4	KCNN4_Kcnn4
8857	PPOX	Ppox	PPOX_Ppox
8858	STK35	Stk35	STK35_Stk35
8859	OR8D4	Olfr985	OR8D4_Olfr985
8860	SPACA4	Spaca4	SPACA4_Spaca4
8861	BPIFB2	Bpifb2	BPIFB2_Bpifb2
8862	TMEM135	Tmem135	TMEM135_Tmem135
8863	VPS13B	Vps13b	VPS13B_Vps13b
8864	GPR18	Gpr18	GPR18_Gpr18
8865	ZC3H12C	Zc3h12c	ZC3H12C_Zc3h12c
8866	ELOVL5	Elovl5	ELOVL5_Elovl5
8867	BUB1B	Bub1b	BUB1B_Bub1b
8868	HRAS	Hras	HRAS_Hras
8869	MRPL24	Mrpl24	MRPL24_Mrpl24
8870	STK4	Stk4	STK4_Stk4
8871	ZNF512	Zfp512	ZNF512_Zfp512
8872	CCDC86	Ccdc86	CCDC86_Ccdc86
8873	GABRG1	Gabrg1	GABRG1_Gabrg1
8874	SLC4A5	Slc4a5	SLC4A5_Slc4a5
8875	LIMD1	Limd1	LIMD1_Limd1
8876	NCF1	Ncf1	NCF1_Ncf1
8877	MLYCD	Mlycd	MLYCD_Mlycd
8878	KRTAP24-1	Krtap24-1	KRTAP24-1_Krtap24-1
8879	SP4	Sp4	SP4_Sp4
8880	GYPA	Gypa	GYPA_Gypa
8881	DGCR6	Dgcr6	DGCR6_Dgcr6
8882	KIAA0408	9330159F19Rik	KIAA0408_9330159F19Rik
8883	RHOD	Rhod	RHOD_Rhod
8884	COX7A2	Cox7a2	COX7A2_Cox7a2
8885	FGF5	Fgf5	FGF5_Fgf5
8886	UHMK1	Uhmk1	UHMK1_Uhmk1
8887	SH2B3	Sh2b3	SH2B3_Sh2b3
8888	CBFA2T2	Cbfa2t2	CBFA2T2_Cbfa2t2
8889	SIK1	Sik1	SIK1_Sik1
8890	CDKN2D	Cdkn2d	CDKN2D_Cdkn2d
8891	PDK3	Pdk3	PDK3_Pdk3
8892	ARL1	Arl1	ARL1_Arl1
8893	CD8B	Cd8b1	CD8B_Cd8b1
8894	ZNF717	Zfp39	ZNF717_Zfp39
8895	MPEG1	Mpeg1	MPEG1_Mpeg1
8896	TPM1	Tpm1	TPM1_Tpm1
8897	ONECUT1	Onecut1	ONECUT1_Onecut1
8898	FGL2	Fgl2	FGL2_Fgl2
8899	ITGB5	Itgb5	ITGB5_Itgb5
8900	GRIPAP1	Gripap1	GRIPAP1_Gripap1
8901	VWA8	Vwa8	VWA8_Vwa8
8902	ZNF449	Zfp449	ZNF449_Zfp449
8903	UHRF1	Uhrf1	UHRF1_Uhrf1
8904	SDHAF3	Sdhaf3	SDHAF3_Sdhaf3
8905	FASTKD3	Fastkd3	FASTKD3_Fastkd3
8906	TEX10	Tex10	TEX10_Tex10
8907	DOK3	Dok3	DOK3_Dok3
8908	SP2	Sp2	SP2_Sp2
8909	TSPAN4	Tspan4	TSPAN4_Tspan4
8910	AIP	Aip	AIP_Aip
8911	KCNK15	Kcnk15	KCNK15_Kcnk15
8912	PUM3	Pum3	PUM3_Pum3
8913	ARHGEF18	Arhgef18	ARHGEF18_Arhgef18
8914	ZNF45	Zfp94	ZNF45_Zfp94
8915	SLC22A3	Slc22a3	SLC22A3_Slc22a3
8916	SHCBP1L	Shcbp1l	SHCBP1L_Shcbp1l
8917	TEKT1	Tekt1	TEKT1_Tekt1
8918	LGI2	Lgi2	LGI2_Lgi2
8919	GCKR	Gckr	GCKR_Gckr
8920	CMTM8	Cmtm8	CMTM8_Cmtm8
8921	OPN1SW	Opn1sw	OPN1SW_Opn1sw
8922	ARFIP1	Arfip1	ARFIP1_Arfip1
8923	TM2D1	Tm2d1	TM2D1_Tm2d1
8924	FTSJ1	Ftsj1	FTSJ1_Ftsj1
8925	PCED1B	Pced1b	PCED1B_Pced1b
8926	TIGIT	Tigit	TIGIT_Tigit
8927	EPHA10	Epha10	EPHA10_Epha10
8928	TAFA1	Tafa1	TAFA1_Tafa1
8929	ADAM32	Adam32	ADAM32_Adam32
8930	FN3K	Fn3k	FN3K_Fn3k
8931	KBTBD3	Kbtbd3	KBTBD3_Kbtbd3
8932	CSNK2B	Csnk2b	CSNK2B_Csnk2b
8933	WFDC11	Wfdc11	WFDC11_Wfdc11
8934	GTPBP1	Gtpbp1	GTPBP1_Gtpbp1
8935	FAM135B	Fam135b	FAM135B_Fam135b
8936	TK2	Tk2	TK2_Tk2
8937	MESD	Mesd	MESD_Mesd
8938	RRAGA	Rraga	RRAGA_Rraga
8939	FUCA1	Fuca1	FUCA1_Fuca1
8940	CXCR4	Cxcr4	CXCR4_Cxcr4
8941	LRRC38	Lrrc38	LRRC38_Lrrc38
8942	UVSSA	Uvssa	UVSSA_Uvssa
8943	CASP3	Casp3	CASP3_Casp3
8944	SNX24	Snx24	SNX24_Snx24
8945	KLRK1	Klrk1	KLRK1_Klrk1
8946	IL21R	Il21r	IL21R_Il21r
8947	NSMAF	Nsmaf	NSMAF_Nsmaf
8948	TIMP3	Timp3	TIMP3_Timp3
8949	GALK2	Galk2	GALK2_Galk2
8950	CD320	Cd320	CD320_Cd320
8951	TJAP1	Tjap1	TJAP1_Tjap1
8952	PSMC6	Psmc6	PSMC6_Psmc6
8953	RPAP3	Rpap3	RPAP3_Rpap3
8954	FMC1	Fmc1	FMC1_Fmc1
8955	CDK10	Cdk10	CDK10_Cdk10
8956	DNAJC4	Dnajc4	DNAJC4_Dnajc4
8957	COL8A2	Col8a2	COL8A2_Col8a2
8958	ATXN2L	Atxn2l	ATXN2L_Atxn2l
8959	ATP5ME	Atp5k	ATP5ME_Atp5k
8960	FBXO15	Fbxo15	FBXO15_Fbxo15
8961	RBM43	Rbm43	RBM43_Rbm43
8962	NOS1AP	Nos1ap	NOS1AP_Nos1ap
8963	VPS52	Vps52	VPS52_Vps52
8964	STAU2	Stau2	STAU2_Stau2
8965	ZMYND12	Zmynd12	ZMYND12_Zmynd12
8966	CCDC71L	Ccdc71l	CCDC71L_Ccdc71l
8967	FADS2	Fads2	FADS2_Fads2
8968	ZNF865	Zfp865	ZNF865_Zfp865
8969	STIL	Stil	STIL_Stil
8970	APMAP	Apmap	APMAP_Apmap
8971	ST6GALNAC4	St6galnac4	ST6GALNAC4_St6galnac4
8972	MAD2L1BP	Mad2l1bp	MAD2L1BP_Mad2l1bp
8973	C1orf52	2410004B18Rik	C1orf52_2410004B18Rik
8974	FBXW11	Fbxw11	FBXW11_Fbxw11
8975	YTHDF2	Ythdf2	YTHDF2_Ythdf2
8976	FAM241A	Fam241a	FAM241A_Fam241a
8977	EYA4	Eya4	EYA4_Eya4
8978	RNASE11	Rnase11	RNASE11_Rnase11
8979	SAA1	Saa2	SAA1_Saa2
8980	RHEBL1	Rhebl1	RHEBL1_Rhebl1
8981	PRDM6	Prdm6	PRDM6_Prdm6
8982	EQTN	Eqtn	EQTN_Eqtn
8983	HIRIP3	Hirip3	HIRIP3_Hirip3
8984	GHDC	Ghdc	GHDC_Ghdc
8985	ABHD17C	Abhd17c	ABHD17C_Abhd17c
8986	SSMEM1	Ssmem1	SSMEM1_Ssmem1
8987	FOXF2	Foxf2	FOXF2_Foxf2
8988	ANKRD34B	Ankrd34b	ANKRD34B_Ankrd34b
8989	EIF2B4	Eif2b4	EIF2B4_Eif2b4
8990	HJV	Hjv	HJV_Hjv
8991	TGM7	Tgm7	TGM7_Tgm7
8992	CYP51A1	Cyp51	CYP51A1_Cyp51
8993	CLDN12	Cldn12	CLDN12_Cldn12
8994	RAB36	Rab36	RAB36_Rab36
8995	B3GAT1	B3gat1	B3GAT1_B3gat1
8996	MPDZ	Mpdz	MPDZ_Mpdz
8997	RGS10	Rgs10	RGS10_Rgs10
8998	SLU7	Slu7	SLU7_Slu7
8999	SLC16A6	Slc16a6	SLC16A6_Slc16a6
9000	NCOR2	Ncor2	NCOR2_Ncor2
9001	LRRC69	Lrrc69	LRRC69_Lrrc69
9002	VRK2	Vrk2	VRK2_Vrk2
9003	SCP2D1	Scp2d1	SCP2D1_Scp2d1
9004	KIF9	Kif9	KIF9_Kif9
9005	KRTCAP2	Krtcap2	KRTCAP2_Krtcap2
9006	HPDL	Hpdl	HPDL_Hpdl
9007	STRADA	Strada	STRADA_Strada
9008	BICDL2	Bicdl2	BICDL2_Bicdl2
9009	ANO2	Ano2	ANO2_Ano2
9010	HDHD2	Hdhd2	HDHD2_Hdhd2
9011	SYPL2	Sypl2	SYPL2_Sypl2
9012	COL2A1	Col2a1	COL2A1_Col2a1
9013	B3GALNT2	B3galnt2	B3GALNT2_B3galnt2
9014	STARD3	Stard3	STARD3_Stard3
9015	TRIP4	Trip4	TRIP4_Trip4
9016	AP4E1	Ap4e1	AP4E1_Ap4e1
9017	TINF2	Tinf2	TINF2_Tinf2
9018	XYLB	Xylb	XYLB_Xylb
9019	SPEG	Speg	SPEG_Speg
9020	CNTD1	Cntd1	CNTD1_Cntd1
9021	SGK3	Sgk3	SGK3_Sgk3
9022	SLC41A3	Slc41a3	SLC41A3_Slc41a3
9023	RFFL	Rffl	RFFL_Rffl
9024	AFM	Afm	AFM_Afm
9025	ABI3	Abi3	ABI3_Abi3
9026	RESF1	Resf1	RESF1_Resf1
9027	RBL2	Rbl2	RBL2_Rbl2
9028	RIPOR1	Ripor1	RIPOR1_Ripor1
9029	ALG9	Alg9	ALG9_Alg9
9030	ACSS2	Acss2	ACSS2_Acss2
9031	PRPSAP2	Prpsap2	PRPSAP2_Prpsap2
9032	RHBDD2	Rhbdd2	RHBDD2_Rhbdd2
9033	PROM2	Prom2	PROM2_Prom2
9034	SPSB4	Spsb4	SPSB4_Spsb4
9035	PLD4	Pld4	PLD4_Pld4
9036	LUC7L2	Luc7l2	LUC7L2_Luc7l2
9037	POU2F3	Pou2f3	POU2F3_Pou2f3
9038	CCDC22	Ccdc22	CCDC22_Ccdc22
9039	TAFA2	Tafa2	TAFA2_Tafa2
9040	IZUMO4	Izumo4	IZUMO4_Izumo4
9041	CDKL5	Cdkl5	CDKL5_Cdkl5
9042	FAM169A	Fam169a	FAM169A_Fam169a
